hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
3900, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
3901, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
3902, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
3903, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
3904, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
3905, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
3906, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
3907, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
3908, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
3909, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
3910, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
3911, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
3912, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
3913, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
3914, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
3915, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
3916, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
3917, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
3918, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
3919, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
3920, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
3921, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
3922, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
3923, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
3924, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
3925, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
3926, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
3927, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
3928, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
3929, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
3930, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
3931, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
3932, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
3933, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
3934, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
3935, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
3936, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
3937, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
3938, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
3939, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
3940, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
3941, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
3942, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
3943, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
3944, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
3945, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
3946, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
3947, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
3948, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
3949, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
3950, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
3951, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
3952, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
3953, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
3954, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
3955, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
3956, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
3957, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
3958, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
3959, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
3960, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
3961, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
3962, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
3963, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
3964, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
3965, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
3966, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
3967, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
3968, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
3969, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
3970, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
3971, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
3972, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
3973, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
3974, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
3975, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
3976, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
3977, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
3978, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
3979, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
3980, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
3981, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
3982, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
3983, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
3984, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
3985, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
3986, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
3987, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
3988, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
3989, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
3990, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
3991, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
3992, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
3993, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
3994, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
3995, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
3996, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
3997, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
3998, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
3999, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
4000, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
4001, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
4002, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
4003, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
4004, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
4005, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
4006, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
4007, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
4008, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
4009, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
4010, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
4011, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
4012, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
4013, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
4014, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
4015, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
4016, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
4017, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
4018, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
4019, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
4020, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
4021, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
4022, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
4023, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
4024, 0.00000, 2291, -5.55346, 2320.94, -125.086, 2328.09, 113.654, 0, 0, 76.5729, -5.5531, 77.5741, -125.085, 77.8133, 113.655, 0.559005, -136.244
4025, 0.00000, 2290.72, -5.57104, 2319.04, -125.11, 2322.7, 113.526, 0, 0, 74.2977, -5.57081, 75.2166, -125.11, 75.3373, 113.529, 0.694507, -151.632
4026, 0.00000, 2293.51, -5.54325, 2312.16, -125.227, 2311.75, 113.259, 0, 0, 70.2229, -5.54247, 70.7963, -125.225, 70.789, 113.263, 1.17798, -159.2
4027, 0.00000, 2295.21, -5.54072, 2307.76, -125.27, 2301.26, 112.997, 0, 0, 66.6012, -5.54071, 66.9653, -125.27, 66.7767, 112.997, 1.57662, -166.6
4028, 0.00000, 2298.87, -5.46628, 2309.22, -125.225, 2301.93, 113.009, 0, 0, 66.1818, -5.46639, 66.48, -125.225, 66.2702, 113.009, 1.6771, -166.68
4029, 0.00000, 2307.79, -5.2697, 2315.42, -125.056, 2307.34, 113.132, 0, 0, 62.7901, -5.26992, 62.998, -125.056, 62.7781, 113.132, 1.72329, -166.766
4030, 0.00000, 2314.69, -5.10777, 2319.98, -124.956, 2315.09, 113.312, 0, 0, 62.5912, -5.10802, 62.7342, -124.956, 62.602, 113.312, 1.70095, -162.834
4031, 0.00000, 2330.46, -4.72052, 2329.75, -124.758, 2334.92, 113.787, 0, 0, 59.8823, -4.72118, 59.8641, -124.758, 59.9968, 113.787, 1.56491, -149.724
4032, 0.00000, 2328.21, -4.72361, 2334.06, -124.712, 2349.14, 114.142, 0, 0, 59.8636, -4.72351, 60.014, -124.712, 60.4016, 114.141, 1.15941, -132.412
4033, 0.00000, 2337.36, -4.50389, 2340.88, -124.557, 2359.63, 114.393, 0, 0, 58.531, -4.5043, 58.6194, -124.557, 59.0889, 114.392, 1.1714, -126.536
4034, 0.00000, 2336.78, -4.51733, 2341.24, -124.548, 2359.71, 114.393, 0, 0, 59.2147, -4.51633, 59.3272, -124.548, 59.7952, 114.393, 1.15877, -126.646
4035, 0.00000, 2335.11, -4.54829, 2340.46, -124.58, 2360.61, 114.418, 0, 0, 59.9174, -4.54669, 60.0542, -124.579, 60.571, 114.417, 1.13448, -122.321
4036, 0.00000, 2334.7, -4.55596, 2340.29, -124.587, 2360.8, 114.424, 0, 0, 60.0869, -4.55555, 60.2306, -124.587, 60.7584, 114.424, 1.12659, -121.242
4037, 0.00000, 2327.13, -4.73458, 2333.79, -124.75, 2352.82, 114.235, 0, 0, 62.8395, -4.72718, 63.0177, -124.745, 63.5327, 114.244, 1.1522, -122.722
4038, 0.00000, 2325.13, -4.7911, 2330.79, -124.81, 2347.05, 114.096, 0, 0, 62.4565, -4.78919, 62.6086, -124.807, 63.0465, 114.102, 1.19691, -129.068
4039, 0.00000, 2302.77, -5.33721, 2311.69, -125.25, 2318.31, 113.407, 0, 0, 70.6078, -5.33675, 70.8809, -125.25, 71.0841, 113.408, 1.3938, -145.841
4040, 0.00000, 2308.06, -5.21766, 2322.08, -124.998, 2323.71, 113.534, 0, 0, 71.2834, -5.221, 71.7161, -125.004, 71.7654, 113.53, 1.32588, -154.642
4041, 0.00000, 2296.98, -5.49819, 2314.58, -125.154, 2308.1, 113.154, 0, 0, 77.5259, -5.49789, 78.1196, -125.154, 77.9012, 113.154, 1.59259, -168.148
4042, 0.00000, 2301.86, -5.371, 2318.27, -125.09, 2316.9, 113.367, 0, 0, 76.8996, -5.37116, 77.4483, -125.09, 77.4024, 113.367, 1.42571, -160.166
4043, 0.00000, 2295.52, -5.46886, 2320.19, -125.096, 2326.51, 113.611, 0, 0, 77.3617, -5.46855, 78.1926, -125.096, 78.4054, 113.611, 0.815463, -142.793
4044, 0.00000, 2291.74, -5.54317, 2319.77, -125.115, 2326.92, 113.625, 0, 0, 77.5384, -5.54321, 78.4869, -125.115, 78.7288, 113.625, 0.648617, -137.475
4045, 0.00000, 2289.41, -5.58602, 2320.67, -125.094, 2327.92, 113.65, 0, 0, 77.0241, -5.58775, 78.0757, -125.095, 78.3191, 113.65, 0.504021, -134.448
4046, 0.00000, 2291.03, -5.54772, 2322.3, -125.053, 2329.83, 113.695, 0, 0, 76.3019, -5.548, 77.343, -125.054, 77.5931, 113.694, 0.497842, -133.365
4047, 0.00000, 2291.46, -5.53999, 2322.05, -125.06, 2329.66, 113.691, 0, 0, 76.5336, -5.53961, 77.5552, -125.06, 77.8096, 113.691, 0.525334, -133.453
